charging_station_id,charging_station_operator,charging_station_name,charging_station_location,latitude,longitude,city,state,battery_capacity,energy_consumed,charging_duration,charging_rate,state_of_charge_start,state_of_charge_end,time_of_day,day_of_week,payment_type,user_type,Charger Type
Station_211,Volttic,HP Super Service DC Charging Station,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",18.9285,72.8255,Mumbai,Maharashtra,62,60.06708509,7.85,7.651570047,22.88146663,51.43427868,Afternoon,Monday,"App, RFID",Casual Driver,Level 2
Station_402,VoltaPoint,VoltaPoint - Parel,"Dr Ambedkar Rd, Parel, Mumbai",19.0094,72.8394,Mumbai,Maharashtra,75,57.72437946,12.87,4.485647105,41.87247964,79.64797277,Afternoon,Friday,App,Long-Distance Traveler,DC Fast Charger
Station_23,EVteQ,EVteQ - Sakinaka,"Sakinaka Junction, Andheri East, Mumbai",19.102,72.8872,Mumbai,Maharashtra,100,68.17785004,2.92,23.31161908,17.04042002,56.07865101,Morning,Thursday,"App, Card, UPI",Long-Distance Traveler,Level 2
Station_461,VoltaPoint,VoltaPoint Charging Station,"527, Building No-2, SRA Cooperative Society, Prabhadevi, near Ahuja Towers, Mumbai",19.0161,72.828,Mumbai,Maharashtra,100,39.39874236,1.93,20.46036487,28.25229826,96.28709224,Morning,Saturday,App,Commuter,Level 2
Station_391,Magenta,Magenta ChargeGrid - Oshiwara,"Oshiwara Police Station Lane, Andheri West, Mumbai",19.1441,72.8366,Mumbai,Maharashtra,85,12.04931971,0.41,29.46894436,36.63685216,66.97610432,Night,Saturday,"App, Card",Commuter,Level 1
Station_185,Fortum,ChargeAndDrive - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai",19.0977,72.8271,Mumbai,Maharashtra,100,17.76943641,0.52,34.45824194,27.69749249,70.51026725,Evening,Thursday,"App, Card, RFID",Casual Driver,DC Fast Charger
Station_130,Fortum,ChargeAndDrive - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai",19.0977,72.8271,Mumbai,Maharashtra,62,77.86372676,1.65,47.1540098,56.91742176,57.46568225,Afternoon,Saturday,"App, Card, RFID",Casual Driver,DC Fast Charger
Station_378,Tata Power,Tata Power,"Fortune Cars, Navi Mumbai, Plot No. D-400, TTC Industrial Area, MIDC, Near Uran Phata Signal, Nerul, Navi Mumbai, Maharashtra - 400706",19.03639,73.029907,Mumbai,Maharashtra,100,71.28000416,1.75,40.61639923,26.15659795,89.92458853,Evening,Wednesday,"App, RFID, UPI",Casual Driver,Level 2
Station_378,EV Point,Tata Power,"The Taj Mahal Palace, Colaba, In front of Times Building , Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",18.92279506,72.83351898,Mumbai,Maharashtra,100,71.28000416,1.75,40.61639923,26.15659795,89.92458853,Evening,Wednesday,"App, Card, RFID",Casual Driver,Level 2
Station_378,Statiq,Tata Power,"Seven Hills Hospital, Andheri East, SevenHills Health City, Marol Maroshi Road, Andheri East, Mumbai, Maharashtra 400059",19.118831,72.87823,Mumbai,Maharashtra,100,71.28000416,1.75,40.61639923,26.15659795,89.92458853,Evening,Wednesday,App,Casual Driver,Level 2
Station_378,Magenta,Tata Power,"IOCL Sahara Hospitality, Vile Parle, opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",19.094122,72.85223,Mumbai,Maharashtra,100,71.28000416,1.75,40.61639923,26.15659795,89.92458853,Evening,Wednesday,"App, RFID, UPI",Casual Driver,Level 2
Station_378,ChargeZone,Tata Power,"CR - Lokmanya Tilak Station, Kurla, Outside Platform 1, Beside LTT Pay and Park, LTT Station, Pipeline Rd, Tilak Nagar, Kurla, Mumbai, Maharashtra 400089",19.068262,72.890964,Mumbai,Maharashtra,100,71.28000416,1.75,40.61639923,26.15659795,89.92458853,Evening,Wednesday,"App, Card, RFID",Casual Driver,Level 2
Station_97,Kazam,Kazam - Andheri West,"Near Infiniti Mall, Andheri West, Mumbai",19.1372,72.8276,Mumbai,Maharashtra,62,21.82768818,0.82,26.50712322,33.25598509,51.50113227,Evening,Tuesday,App,Casual Driver,Level 1
Station_87,Volttic,Volttic - Sion,"Sion East, Near Sion Hospital, Mumbai",19.032,72.8597,Mumbai,Maharashtra,40.2,46.195137,0.96,47.87752356,53.00518533,59.90164627,Afternoon,Sunday,"App, Card",Commuter,Level 2
Station_208,Jio-bp Pulse,"Oberoi Mall, Goregaon","Western Express Hwy, Yashodham, Goregaon, Mumbai, Maharashtra 400063",19.1737611,72.8600172,Mumbai,Maharashtra,62,59.25460166,18.38615197,26.50712322,77.03697399,91.82927487,Night,Thursday,"App, Card",Long-Distance Traveler,Level 2
Station_35,Statiq,Statiq - Marol Naka,"Marol Naka Metro Station, Mumbai",19.109,72.8771,Mumbai,Maharashtra,50,67.00568214,16.37,4.092360865,57.67766075,57.11286225,Night,Monday,"App, Card, UPI",Long-Distance Traveler,Level 1
Station_67,Statiq,Statiq - Parel,"Phoenix Mills Compound, Lower Parel, Mumbai",19.0029,72.824,Mumbai,Maharashtra,75,61.13047583,2.63,23.28180496,34.89904375,92.35566117,Evening,Saturday,"App, Card, UPI",Long-Distance Traveler,DC Fast Charger
Station_34,EV Point,Magenta House - Mumbai,"TTC Industrial Area, MIDC Industrial Area, Sanpada, Navi Mumbai",19.06870454,73.02298692,Mumbai,Maharashtra,85,69.16916706,12.45,5.557358509,41.08904487,74.39951853,Afternoon,Wednesday,"App, UPI",Casual Driver,Level 1
Station_151,Magenta,Kohinoor MCGM parking,"Kohinoor Square, Kasaravadi, Dadar, Mumbai, Maharashtra",19.02460889,72.84282021,Mumbai,Maharashtra,100,30.65169982,1.07,28.52235334,38.12132999,81.19721084,Evening,Friday,"App, RFID, UPI",Casual Driver,DC Fast Charger
Station_71,Magenta,K Star Chembur,"VN Purav Marg Diamond Garden, Basant Garden, Chembur Mumbai, Maharashtra,Chembur",19.05231631,72.90163581,Mumbai,Maharashtra,75,59.98647673,2.56,23.41792115,88.09676846,96.13056859,Afternoon,Wednesday,App,Commuter,Level 1
Station_82,Kazam,"Hare Krishna Mahindra, Mulund West","Building, Plot 1, Udyog Kshtra, Mulund Goregaon Link Rd, near D Mart Mulund, Salpa Devi Pada, Mulund West, Mumbai, Maharashtra 400080",19.163979,72.938751,Mumbai,Maharashtra,50,57.92445004,4.62,12.53816191,49.87203405,54.26143302,Morning,Friday,App,Casual Driver,Level 1
Station_224,Tata Power,Tata Power - Palava,"Near Palava City, Dombivli East",19.2081,73.1041,Mumbai,Maharashtra,85,65.43101691,3.23,20.27269894,76.46681164,75.84995703,Night,Sunday,"App, UPI",Long-Distance Traveler,DC Fast Charger
Station_448,Tata Power,Tata Power - Chakala,"Chakala Metro Station, Mumbai",19.1088,72.8535,Mumbai,Maharashtra,100,36.137269,0.99,36.37707579,48.61219347,95.83119936,Night,Sunday,App,Casual Driver,DC Fast Charger
Station_56,Tata Power,Tata Power - Dombivli,"Dombivli East Railway Parking, Thane",19.2188,73.0935,Mumbai,Maharashtra,85,43.44537898,3.365143965,26.50712322,55.70562012,52.80830823,Morning,Friday,App,Casual Driver,Level 1
Station_62,Tata Power,"Mahanagar Gas Limited, Wadala","MGL Terminal, opposite Anik Depot, Wadala, Mumbai, Maharashtra 400022",19.0472567,72.8783829,Mumbai,Maharashtra,63.09631665,47.7140959,11.0477729,26.50712322,49.53760262,57.93745966,Night,Wednesday,"App, RFID",Casual Driver,DC Fast Charger
Station_494,Tata Power,Tata Power - Kandivali West,"Raghuleela Mega Mall, Kandivali West, Mumbai",19.2053,72.8444,Mumbai,Maharashtra,75,64.41904929,2.62,24.62165118,49.17384524,62.34186035,Evening,Friday,"App, RFID, UPI",Long-Distance Traveler,Level 1
Station_127,VoltaPoint,VoltaPoint - Dahisar,"Dahisar Check Naka Parking, Mumbai",19.2567,72.8572,Mumbai,Maharashtra,50,35.55367093,0.78,45.8556972,85.49045253,74.66057198,Night,Tuesday,App,Commuter,Level 1
Station_114,Jio-bp Pulse,Blue Tokai Coffee,"Unit 20-22, Laxmi Woollen Mill, Opposite Blue Loft, Dr E Moses Marg, Off, Shakti Mills Ln, Mahalakshmi, Mumbai",18.989356,72.825234,Mumbai,Maharashtra,100,36.61656862,1.34,27.32114694,66.55511783,56.23715391,Afternoon,Sunday,"App, RFID, UPI",Long-Distance Traveler,Level 2
Station_199,Magenta,Magenta ChargeGrid - Kamothe,"Kamothe Bus Depot, Navi Mumbai",19.016,73.0949,Mumbai,Maharashtra,50,65.48719596,1.74,37.57728956,42.83535123,83.70937054,Evening,Thursday,App,Long-Distance Traveler,DC Fast Charger
Station_13,Tata Power,Tata Power - Kapasi CHSL,"4/5, Enterprise Apartment, Forjet Hill Rd, Tardeo, Mumbai",18.965,72.8098,Mumbai,Maharashtra,85,33.88719708,1.82,18.6042609,40.14074747,63.34760038,Night,Monday,"App, RFID, UPI",Long-Distance Traveler,DC Fast Charger
Station_444,Tata Power,Tata Power - Cotton Green,"Cotton Green Railyard, Mumbai",18.991,72.8485,Mumbai,Maharashtra,85,30.0651389,0.84,35.87112113,13.94832346,93.59847436,Night,Friday,App,Long-Distance Traveler,DC Fast Charger
Station_474,Tata Power,Tata Power - Khar West,"Khar Danda Road, Mumbai",19.0756,72.8322,Mumbai,Maharashtra,100,47.37743937,0.98,48.16033463,23.63676232,68.05817011,Morning,Monday,App,Casual Driver,DC Fast Charger
Station_74,EVteQ,EVteQ - Kandivali,"Kandivali East, Next to Railway Station, Mumbai",19.2104,72.8572,Mumbai,Maharashtra,50,78.69341922,2.15,36.56255637,38.19062073,82.43448923,Evening,Tuesday,"App, Card, UPI",Long-Distance Traveler,Level 1
Station_101,Fortum,ChargeAndDrive - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai",19.0977,72.8271,Mumbai,Maharashtra,85,40.2483826,1.19,33.73226426,45.0273134,77.80287971,Night,Tuesday,"App, Card, RFID",Commuter,DC Fast Charger
Station_366,ATUM,Lodha Florenza,"On Western Express Highway, adjacent to Hub Mall, Cama Industrial Estate, Goregaon, Mumbai, Maharashtra ,Goregaon",19.15381142,72.85579572,Mumbai,Maharashtra,50,56.06879095,1.99,28.16853365,75.63146824,55.82273779,Afternoon,Monday,"App, Card, UPI",Long-Distance Traveler,DC Fast Charger
Station_120,EV Point,Hotel Yogi Midtown,"Plot No DX 12,Thane - Belapur Road D' Zone Bonsari, Village, TTC Industrial Area, Turbhe, Navi Mumbai, Maharashtra ,Thane",19.0640261,73.01971543,Mumbai,Maharashtra,62,65.04979561,2.88,22.55945181,83.58728192,80.04211898,Night,Saturday,"App, Card",Casual Driver,DC Fast Charger
Station_145,Tata Power,Tata Power - Gateway of India,"Apollo Bunder Road, Colaba, Mumbai",18.9218,72.8347,Mumbai,Maharashtra,50.87061708,23.57128154,0.47,49.78371903,51.07152573,79.00243297,Night,Friday,"App, RFID",Casual Driver,DC Fast Charger
Station_352,Tata Power,"Trimurti Petroleum, Panvel","GUT NO.151/2, VILLAGE - AJIVALI, TALUKA - PANVEL, RAIGAD, AJIVALI, 410216",18.9563188,73.1626506,Mumbai,Maharashtra,85,45.57396766,4.11,11.089827,45.7060602,87.23241205,Evening,Monday,App,Commuter,Level 2
Station_137,Statiq,Statiq - Ulhasnagar,"Ulhasnagar Station, Mumbai Region",19.2336,73.1353,Mumbai,Maharashtra,75,54.6408791,2.77,19.70948849,27.0170636,85.53675893,Morning,Monday,"App, Card",Commuter,Level 1
Station_273,ATUM,ATUM Charge - Santacruz,"Santacruz West, Next to Railway Station, Mumbai",19.0815,72.8367,Mumbai,Maharashtra,85,56.01783154,1.48,37.85307848,18.03729692,61.93129744,Evening,Monday,"App, Card",Long-Distance Traveler,Level 1
Station_117,Statiq,Statiq - Kanjurmarg,"Kanjurmarg East Station, Mumbai",19.1341,72.9297,Mumbai,Maharashtra,85,118.8974904,12.8,9.2864977,27.64544589,90.29992273,Night,Monday,"App, Card",Casual Driver,Level 2
Station_368,Magenta,Magenta ChargeGrid - Ghatkopar,"Near Ghatkopar Metro Station, Ghatkopar West, Mumbai",19.0864,72.9085,Mumbai,Maharashtra,75,41.15701391,1.26,32.59959954,68.79319057,75.66889916,Night,Monday,"App, Card",Casual Driver,DC Fast Charger
Station_168,Magenta,Tata Power,"Fortune Cars, Navi Mumbai, Plot No. D-400, TTC Industrial Area, MIDC, Near Uran Phata Signal, Nerul, Navi Mumbai, Maharashtra - 400706",19.03639,73.029907,Mumbai,Maharashtra,50,71.14274636,4.8,14.82991098,73.16017409,75.75484663,Afternoon,Saturday,"App, Card, RFID",Long-Distance Traveler,DC Fast Charger
Station_168,Tata Power,Tata Power,"The Taj Mahal Palace, Colaba, In front of Times Building , Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",18.92279506,72.83351898,Mumbai,Maharashtra,50,71.14274636,4.8,14.82991098,73.16017409,75.75484663,Afternoon,Saturday,"App, Card",Long-Distance Traveler,DC Fast Charger
Station_168,Jio-bp Pulse,Tata Power,"Seven Hills Hospital, Andheri East, SevenHills Health City, Marol Maroshi Road, Andheri East, Mumbai, Maharashtra 400059",19.118831,72.87823,Mumbai,Maharashtra,50,71.14274636,4.8,14.82991098,73.16017409,75.75484663,Afternoon,Saturday,App,Long-Distance Traveler,DC Fast Charger
Station_168,Volttic,Tata Power,"IOCL Sahara Hospitality, Vile Parle, opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",19.094122,72.85223,Mumbai,Maharashtra,50,71.14274636,4.8,14.82991098,73.16017409,75.75484663,Afternoon,Saturday,"App, Card, UPI",Long-Distance Traveler,DC Fast Charger
Station_168,Statiq,Tata Power,"CR - Lokmanya Tilak Station, Kurla, Outside Platform 1, Beside LTT Pay and Park, LTT Station, Pipeline Rd, Tilak Nagar, Kurla, Mumbai, Maharashtra 400089",19.068262,72.890964,Mumbai,Maharashtra,50,71.14274636,4.8,14.82991098,73.16017409,75.75484663,Afternoon,Saturday,"App, UPI",Long-Distance Traveler,DC Fast Charger
Station_183,ChargeZone,MH|MUMBAI|POWAI#HIRANANDANI GARDENS,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",19.11999443,72.9141036,Mumbai,Maharashtra,50,21.82050637,0.22,97.3422547,78.27386156,76.89957103,Afternoon,Sunday,"App, Card, UPI",Long-Distance Traveler,Level 1
Station_183,Magenta,MH|MUMBAI|POWAI#HIRANANDANI GARDENS,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",19.12,72.9141,Mumbai,Maharashtra,50,21.82050637,0.22,97.3422547,78.27386156,76.89957103,Afternoon,Sunday,"App, Card, RFID",Long-Distance Traveler,Level 1
Station_152,ATUM,"Hotel Suba Galaxy, Andheri East","NS Phadake Marg, Opp Teli galli,Near Eastern expres Highway, Andheri East Mumbai 400069u00c2u00a0",19.1142415,72.8518766,Mumbai,Maharashtra,62,47.31460938,4.66,10.16337295,40.48798797,98.82353364,Afternoon,Sunday,App,Casual Driver,Level 1
Station_496,Tata Power,Tata Power - Taloja Station,"Taloja Panchanand Station, Navi Mumbai",19.0494,73.1166,Mumbai,Maharashtra,50,63.62653233,6.37,9.986771923,41.00608003,71.25331651,Afternoon,Sunday,App,Commuter,Level 1
Station_212,Kazam,"Trimurti Petroleum, Panvel","GUT NO.151/2, VILLAGE - AJIVALI, TALUKA - PANVEL, RAIGAD, AJIVALI, 410216",18.9563188,73.1626506,Mumbai,Maharashtra,50,8.349591228,0.18,47.48218949,43.32205191,62.97068755,Morning,Sunday,"App, Card",Long-Distance Traveler,Level 1
Station_132,Magenta,Magenta ChargeGrid - Bhayandar,"Bhayandar West Station Parking, Mumbai",19.3134,72.8476,Mumbai,Maharashtra,62,13.48519533,0.45,29.87310551,82.88645336,52.6525883,Night,Monday,App,Commuter,DC Fast Charger
Station_108,Statiq,Statiq - Navi Mumbai,"Seawoods Station, Navi Mumbai",19.0387,73.0222,Mumbai,Maharashtra,85,70.99471727,5.65,12.56141232,72.89524753,68.05110318,Morning,Friday,"App, Card, UPI",Long-Distance Traveler,Level 1
Station_205,ChargeZone,ChargeZone - Chembur,"Chembur Station East, Mumbai",19.0549,72.9038,Mumbai,Maharashtra,89.03206383,78.64289917,2.26,34.823951,74.34868091,50.72443431,Afternoon,Wednesday,"App, Card, UPI",Commuter,Level 2
Station_155,Jio-bp Pulse,Vasant oasis,"Borosil Plot,off, Makwana Rd, Marol, Andheri East, Mumbai, Maharashtra",19.1146146,72.8840941,Mumbai,Maharashtra,85,75.18617181,1.41,53.1747828,17.16005127,64.31018702,Evening,Tuesday,"App, RFID",Casual Driver,Level 1
Station_436,Tata Power,Tata Power - BKC Substation,"Near Asian Heart Hospital, Opp Bharat Diamond Bourse, Bandra East, Mumbai, MH 400051",19.0585,72.8557,Mumbai,Maharashtra,75,15.27366667,2.84,5.37038419,86.95322411,85.13643915,Night,Friday,"App, RFID, UPI",Long-Distance Traveler,DC Fast Charger
Station_338,ATUM,HOTEL REDWINGS CASTLE,"Near to Orion Mall/ New Panvel Bridge, Old, Mumbai - Pune Expy,",18.99453515,73.11513242,Mumbai,Maharashtra,50,44.15948701,1.86,23.75243532,81.45214551,89.2935832,Morning,Thursday,"App, RFID",Long-Distance Traveler,Level 1
Station_181,Tata Power,"Ginger Mumbai, Andheri East","Teli - Gali Road, Andheri (East), Mumbai - 400069",19.11599,72.85018,Mumbai,Maharashtra,50,20.46478094,1.1,18.59949061,18.13415171,56.11481332,Morning,Wednesday,"App, Card, UPI",Casual Driver,Level 1
Station_275,Magenta,Magenta ChargeGrid - Breach Candy,"Breach Candy Hospital Complex, Mumbai",18.9677,72.8055,Mumbai,Maharashtra,120.5106328,68.82528251,4.06,16.93561005,70.75160734,55.33183817,Afternoon,Monday,"App, Card",Commuter,Level 1
Station_492,Magenta,Magenta ChargeGrid - Bhandup,"LBS Marg, Near Bhandup Station, Mumbai",19.1547,72.9346,Mumbai,Maharashtra,62,22.57288245,0.54,41.5266716,18.85564766,98.32393365,Evening,Friday,"App, Card",Long-Distance Traveler,DC Fast Charger
Station_263,Tata Power,Tata Power - Mahanagar Gas,"MGL Terminal, Opposite Anik Depot, Wadala, Mumbai",19.0281,72.8647,Mumbai,Maharashtra,100,22.27571241,1.22,18.2090343,83.64021009,59.25917191,Morning,Wednesday,App,Long-Distance Traveler,DC Fast Charger
Station_302,Magenta,Magenta ChargeGrid - Kalyan,"Kalyan West, Kalyan, Thane",19.2403,73.1258,Mumbai,Maharashtra,75,61.11752874,2.15,28.40157855,28.7158913,52.96116986,Night,Sunday,"App, Card",Long-Distance Traveler,Level 2
Station_442,Tata Power,Tata Power - Gateway of India,"Apollo Bunder Road, Colaba, Mumbai",18.9218,72.8347,Mumbai,Maharashtra,75,36.5318794,7.17,5.092837674,80.02092861,75.52594739,Evening,Sunday,"App, RFID",Long-Distance Traveler,DC Fast Charger
Station_400,VoltaPoint,VoltaPoint - Dahisar,"Dahisar Check Naka Parking, Mumbai",19.2567,72.8572,Mumbai,Maharashtra,50,47.90409794,2.17,22.06190557,48.97534202,75.49040404,Night,Thursday,App,Commuter,Level 1
Station_71,EV Dock,EV Dock - Malad,"G-603/604, Vasari Hill Rd, Malad, Sunder Nagar, Goregaon West, Mumbai",19.1787,72.8446,Mumbai,Maharashtra,100,79.00225971,2.93,26.97742286,22.53375157,93.2978301,Night,Friday,"App, RFID, UPI",Commuter,Level 2
Station_121,ChargeZone,ChargeZone - Versova,"Versova Metro Station, Andheri West, Mumbai",19.137,72.8261,Mumbai,Maharashtra,75,51.62169093,1.2,43.16138737,22.78747904,58.66249439,Afternoon,Monday,"App, Card",Casual Driver,Level 1
Station_63,ChargeZone,"Brookfield, Powai","Spectra, High St, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",19.11637,72.91086,Mumbai,Maharashtra,75,70.62045542,3.85,18.33554746,25.72347164,99.5858146,Morning,Saturday,"App, UPI",Commuter,Level 1
Station_63,EV Dock,"Brookfield, Powai","Pay & Park, Central Ave, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",19.11644,72.90968,Mumbai,Maharashtra,75,70.62045542,3.85,18.33554746,25.72347164,99.5858146,Morning,Saturday,"App, UPI",Commuter,Level 1
Station_436,VoltaPoint,"Nathani Heights, Mumbai Central","Junction of Bellasis Road and Dr D.B. Marg , Mumbai Central, Mumbai 400008",18.9688627,72.8207138,Mumbai,Maharashtra,75,32.52486105,1.03,31.55315617,23.42576753,83.74262074,Evening,Thursday,"App, Card, RFID",Long-Distance Traveler,DC Fast Charger
Station_68,Tata Power,Tata Power - Vikhroli,"Near Vikhroli Station East, Mumbai",19.106,72.9286,Mumbai,Maharashtra,100,78.3990561,2.63,29.75315871,49.66021029,83.24626253,Night,Sunday,"App, RFID, UPI",Commuter,Level 1
Station_108,EV Dock,Blue Tokai Coffee,"Unit 20-22, Laxmi Woollen Mill, Opposite Blue Loft, Dr E Moses Marg, Off, Shakti Mills Ln, Mahalakshmi, Mumbai",18.989356,72.825234,Mumbai,Maharashtra,75,23.99396127,0.73,32.93397056,87.85226345,75.36398823,Evening,Tuesday,"App, RFID",Long-Distance Traveler,Level 2
Station_417,ATUM,MCGM Parking || Runwal Anthurium,"Runwal Anthurium Rd, opposite Veena Nagar, Vardhman Nagar, Mulund West",19.18066617,72.94684724,Mumbai,Maharashtra,100,23.54038392,6.71,3.508161487,17.17061425,39.31920167,Evening,Thursday,"App, UPI",Casual Driver,Level 2
Station_216,Magenta,"Nathani Heights, Mumbai Central","Junction of Bellasis Road and Dr D.B. Marg , Mumbai Central, Mumbai 400008",18.9688627,72.8207138,Mumbai,Maharashtra,85,46.45478115,1.08,42.8384828,12.79308917,70.71797257,Morning,Tuesday,App,Commuter,Level 1
Station_98,Magenta,Magenta ChargeGrid - Chembur Diamond Garden,"Diamond Garden, Chembur, Mumbai",19.0458,72.8991,Mumbai,Maharashtra,100,66.17491556,16.16,4.096052506,57.51855751,59.21834421,Night,Wednesday,App,Casual Driver,DC Fast Charger
Station_484,Tata Power,Tata Power - Tilak Nagar,"Tilak Nagar Railway Station, Mumbai",19.0734,72.8892,Mumbai,Maharashtra,50,55.42091221,1.42,39.08038685,74.61169024,62.05991728,Morning,Thursday,App,Commuter,DC Fast Charger
Station_276,EV Point,"Tata Power, Dharavi Colony","Tata Power Dharavi Colony labour camp dharavi ,Matunga ,Mumbai 400019",19.034402,72.85284,Mumbai,Maharashtra,85,14.50345514,0.39,37.65992488,51.14214596,99.98660421,Morning,Tuesday,"App, RFID, UPI",Commuter,Level 2
Station_183,Ather,Ather Grid - Hiranandani,"Hiranandani Gardens, Powai, Mumbai",19.1206,72.9188,Mumbai,Maharashtra,62,103.8126056,6.26,16.59138267,52.79679327,89.35179211,Night,Friday,App,Casual Driver,Level 2
Station_322,Kazam,Vasant oasis,"Borosil Plot,off, Makwana Rd, Marol, Andheri East, Mumbai, Maharashtra",19.1146146,72.8840941,Mumbai,Maharashtra,62,62.19283346,3.04,20.45251231,24.3852456,88.82972948,Morning,Saturday,"App, RFID, UPI",Long-Distance Traveler,DC Fast Charger
Station_238,ATUM,ATUM Charge - Santacruz,"Santacruz West, Next to Railway Station, Mumbai",19.0815,72.8367,Mumbai,Maharashtra,85,40.16142185,1.41,28.47996213,35.04453498,94.56359194,Evening,Wednesday,"App, Card",Casual Driver,DC Fast Charger
Station_134,Jio-bp Pulse,Jio-bp Pulse - Goregaon West,"Inorbit Mall, Goregaon West, Mumbai",19.1643,72.8346,Mumbai,Maharashtra,62,42.51736092,1.07,39.91263736,88.94643474,63.74334492,Morning,Saturday,App,Casual Driver,Level 2
Station_222,Jio-bp Pulse,Jio-bp Pulse - Kolshet,"Kolshet Road, Thane West",19.2587,72.9773,Mumbai,Maharashtra,75,10.45065783,0.26,39.8938261,82.76444286,60.77776335,Afternoon,Wednesday,App,Long-Distance Traveler,Level 2
Station_373,Magenta,Magenta ChargeGrid - Trombay,"Anushakti Nagar, Trombay, Mumbai",19.037,72.9235,Mumbai,Maharashtra,100,30.805662,1.62,18.97988935,60.72720275,61.20655137,Night,Saturday,App,Casual Driver,Level 2
